Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
"7/05/2018","Los Alamos Coop","LOS ALAMOS COOP MARKET LOS ALAMOS NM","14.91","debit","Groceries","Costco Anywhere Visa® Card by Citi","",""
"7/05/2018","Starbucks","STARBUCKS STORE 06442 LOS ALAMOS NM","2.09","debit","Coffee Shops","Costco Anywhere Visa® Card by Citi","",""
"7/05/2018","Rose Chocolatier LLC","SQ *ROSE CHOCOLATIER, LLCLos Alamos NM","3.76","debit","Coffee Shops","Costco Anywhere Visa® Card by Citi","",""
"7/05/2018","Amazon","Amazon","10.50","debit","Books & Supplies","Quicksilver","",""
"7/05/2018","Zenni Optical","Zenni Optical","71.85","debit","Eyecare","Quicksilver","",""
"7/05/2018","Deposit Sbi Mobile","DEPOSIT SBI 0705 1136 046989 MobDEPOSIT SBI 0705 1136 046989 Mobile Deposit Albuquerqu","3153.84","credit","Paycheck","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"7/04/2018","Holiday Inn","HOLIDAY INN EXPRESS & SU LOS ALAMOS NM","1.50","debit","Hotel","Costco Anywhere Visa® Card by Citi","",""
"7/04/2018","Smiths","SMITHS #4467 LOS ALAMOS NM","36.80","debit","Groceries","Costco Anywhere Visa® Card by Citi","",""
"7/04/2018","McDonald's","MCDONALD'S F35918 LOS ALAMOS NM","15.18","debit","Fast Food","Costco Anywhere Visa® Card by Citi","",""
"7/04/2018","Fleur De Lys","FLEUR DE LYS","15.77","debit","Restaurants","Quicksilver","",""
"7/04/2018","Amazon","Amazon","3.14","debit","Books & Supplies","Quicksilver","",""
"7/04/2018","Shell","Shell Oil","16.28","debit","Gas & Fuel","Quicksilver","",""
"7/04/2018","Sonic","Sonic Drive-In","7.71","debit","Fast Food","Quicksilver","",""
"7/03/2018","El Rigobertos Taco Shop","EL REGOBERTOS TACO SHOP","21.24","debit","Restaurants","Quicksilver","",""
"7/03/2018","Starbucks","Starbucks","4.56","debit","Coffee Shops","Quicksilver","",""
"7/03/2018","Rose Chocolatier LLC","Rose Chocolatier","3.76","debit","Coffee Shops","Quicksilver","",""
"7/03/2018","Los Alamos Cooperative Market","Los Alamos Cooperative Market","21.31","debit","Groceries","Quicksilver","",""
"7/03/2018","McDonald's","McDonald's","2.14","debit","Fast Food","Quicksilver","",""
"7/03/2018","Wf Home Mtg","WF HOME MTG     AUTO PAY  070118","971.04","debit","Mortgage","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"7/02/2018","Smith's Food","Smith's Food & Drug Centers","7.28","debit","Groceries","Quicksilver","",""
"7/02/2018","Rose Chocolatier LLC","Rose Chocolatier","3.76","debit","Coffee Shops","Quicksilver","",""
"7/02/2018","McDonald's","McDonald's","14.57","debit","Fast Food","Quicksilver","",""
"7/02/2018","Rose Chocolatier LLC","Rose Chocolatier","3.76","debit","Coffee Shops","Quicksilver","",""
"7/01/2018","Holiday Inn","Holiday Inn","5.00","debit","Hotel","Quicksilver","",""
"7/01/2018","Smith's Food","Smith's Food & Drug Centers","89.55","debit","Groceries","Quicksilver","",""
"7/01/2018","Smith's Food","Smith's Food & Drug Centers","4.56","debit","Groceries","Quicksilver","",""
"7/01/2018","McDonald's","McDonald's","4.08","debit","Fast Food","Quicksilver","",""
"6/30/2018","Nambe Falls Travel","Nambe Falls Travel Center","12.16","debit","Travel","Quicksilver","",""
"6/30/2018","Los Alamos Cooperative Market","Los Alamos Cooperative Market","5.69","debit","Groceries","Quicksilver","",""
"6/30/2018","Do It Best","METZGER'S DO IT BE","8.04","debit","Home Improvement","Quicksilver","",""
"6/30/2018","Los Alamos Cooperative Market","Los Alamos Cooperative Market","38.12","debit","Groceries","Quicksilver","",""
"6/30/2018","Totavi Travel","TOTAVI TRAVEL CENTER","18.10","debit","Travel","Quicksilver","",""
"6/29/2018","Smiths","SMITHS #4467 LOS ALAMOS NM","42.91","debit","Health & Fitness","Costco Anywhere Visa® Card by Citi","",""
"6/29/2018","Starbucks","STARBUCKS STORE 06442 LOS ALAMOS NM","2.95","debit","Coffee Shops","Costco Anywhere Visa® Card by Citi","",""
"6/29/2018","Los Alamos Coop","LOS ALAMOS COOP MARKET LOS ALAMOS NM","9.22","debit","Groceries","Costco Anywhere Visa® Card by Citi","",""
"6/29/2018","Ruby KS Bagel Cafe LLC","Ruby K's Bagel Cafe","18.72","debit","Restaurants","Quicksilver","",""
"6/29/2018","Rose Chocolatier LLC","Rose Chocolatier","3.59","debit","Coffee Shops","Quicksilver","",""
"6/29/2018","Inst Xfer","PAYPAL          INST XFER 180628","50.00","debit","Gifts & Donations","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"6/28/2018","Starbucks","STARBUCKS STORE 06442 LOS ALAMOS NM","4.56","debit","Coffee Shops","Costco Anywhere Visa® Card by Citi","",""
"6/28/2018","Rose Chocolatier LLC","SQ *ROSE CHOCOLATIER, LLCLos Alamos NM","4.29","debit","Coffee Shops","Costco Anywhere Visa® Card by Citi","",""
"6/28/2018","Adove Cleaning Services LLC","Adove Cleaning Services","177.38","debit","Home","Quicksilver","",""
"6/28/2018","Los Alamos Cooperative Market","Los Alamos Cooperative Market","28.38","debit","Groceries","Quicksilver","",""
"6/28/2018","McDonald's","McDonald's","4.93","debit","Fast Food","Quicksilver","",""
"6/28/2018","Farmers Insurance","FARMERS INS     EFT PYMT  062718","47.95","debit","Auto Insurance","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"6/28/2018","Capital One Crcardpmt","CAPITAL ONE     CRCARDPMT 180627","797.96","debit","Credit Card Payment","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"6/28/2018","Capital One Retabill","CAPITAL ONE RETABILL PAYMT180628","90.00","debit","Furnishings","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"6/28/2018","Paypal Transfer","ELECTRONIC DEPOSIT PAYPALELECTRONIC DEPOSIT PAYPAL TRANSFER 180627","237.26","credit","Health & Fitness","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","","healthywage winnings payout"
"6/27/2018","Starbucks","STARBUCKS STORE 06442 LOS ALAMOS NM","4.56","debit","Coffee Shops","Costco Anywhere Visa® Card by Citi","",""
"6/27/2018","El Parasol","El Parasol LA #3 Los Alamos NM","24.16","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"6/27/2018","Starbucks","STARBUCKS STORE 06442 LOS ALAMOS NM","4.56","debit","Coffee Shops","Costco Anywhere Visa® Card by Citi","",""
"6/27/2018","Loan Change Prin","LOC LOAN CHANGE  Prin:0.00 Int:0LOC LOAN CHANGE Prin:0.00 Int:0.00 Fee:0.00","0.00","credit","Transfer","IO-Home Eqty LOC Int Only","",""
"6/27/2018","Capital One Autopay","CAPITAL ONE AUTOPAY PYMT AuthDate 27-Jun","797.96","credit","Credit Card Payment","Quicksilver","",""
"6/26/2018","El Parasol","El Parasol LA #3 Los Alamos NM","16.51","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"6/26/2018","Pyramid Cafe","PYRAMID CAFE LOS ALAMO LOS ALAMOS NM","42.36","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"6/25/2018","Rose Chocolatier LLC","SQ *ROSE CHOCOLATIE LOS ALAMOS NM","3.76","debit","Coffee Shops","Costco Anywhere Visa® Card by Citi","",""
"6/25/2018","Time Out Pizzeria LLC","Time Out Pizzeria","20.78","debit","Fast Food","Quicksilver","",""
"6/25/2018","Smith's Food","Smith's Food & Drug Centers","51.50","debit","Groceries","Quicksilver","",""
"6/25/2018","Conoco","Conoco Phillips","24.02","debit","Gas & Fuel","Quicksilver","",""
"6/25/2018","Capital One Mobile","CAPITAL ONE     MOBILE PMT180622","3852.67","debit","Credit Card Payment","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"6/24/2018","Lowe's","Lowe's","6.17","debit","Home Improvement","Quicksilver","",""
"6/24/2018","Popeye's","Popeyes Louisiana Kitchen","16.10","debit","Restaurants","Quicksilver","",""
"6/24/2018","Lowe's","Lowe's","24.73","credit","Home Improvement","Quicksilver","",""
"6/23/2018","Pyramid Cafe","Pyramid Cafe","27.54","debit","Restaurants","Quicksilver","",""
"6/23/2018","Cash Back Reward","CREDIT-CASH BACK REWARD","25.00","credit","Credit Card Payment","Quicksilver","",""
"6/23/2018","Daniels Cafe Mary","DANIELS CAFE MARY'S GELAT","3.63","debit","Restaurants","Quicksilver","",""
"6/23/2018","Time Out Pizzeria LLC","Time Out Pizzeria","34.17","debit","Fast Food","Quicksilver","",""
"6/23/2018","Los Alamos Cooperative Market","Los Alamos Cooperative Market","9.50","debit","Groceries","Quicksilver","",""
"6/22/2018","Blue Window Bistro","Blue Window Bistro","35.51","debit","Restaurants","Quicksilver","",""
"6/22/2018","North Road Inn","North Road Inn","471.76","debit","Relocation","Quicksilver","",""
"6/22/2018","Taylor Ranch Self Storage","Taylor Ranch Self Storage","120.00","debit","Home Selling","Quicksilver","",""
"6/22/2018","Smith's Food","Smith's Food & Drug Centers","20.01","debit","Groceries","Quicksilver","",""
"6/22/2018","Capital One Mobile","CAPITAL ONE MOBILE PYMT AuthDate 22-Jun","3852.67","credit","Credit Card Payment","Quicksilver","",""
"6/22/2018","Presbyterian Heapr","ELECTRONIC DEPOSIT PresbyterianELECTRONIC DEPOSIT Presbyterian HeaPR PAYMENT","2352.78","credit","Paycheck","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"6/21/2018","Covenant Eyes","Covenant Eyes","13.49","debit","Internet","Quicksilver","",""
"6/21/2018","El Parasol","El Parasol","12.95","debit","Restaurants","Quicksilver","",""
"6/21/2018","Smith's Food","Smith's Food & Drug Centers","47.73","debit","Groceries","Quicksilver","",""
"6/20/2018","Smith's Food","Smith's Food & Drug Centers","22.85","debit","Groceries","Quicksilver","",""
"6/20/2018","Smith's Food","Smith's Food & Drug Centers","6.28","debit","Groceries","Quicksilver","",""
"6/20/2018","Microsoft","Microsoft","7.35","debit","Electronics & Software","Quicksilver","",""
"6/20/2018","Morning Glory","SQ *MORNING GLORY LLC","13.83","debit","Food & Dining","Quicksilver","",""
"6/19/2018","Smith's Food","Smith's Food & Drug Centers","15.00","debit","Groceries","Quicksilver","",""
"6/19/2018","Time Out Pizzeria LLC","Time Out Pizzeria","17.29","debit","Fast Food","Quicksilver","",""
"6/18/2018","Pyramid Cafe","Pyramid Cafe","39.73","debit","Restaurants","Quicksilver","",""
"6/18/2018","GrubHub","GrubHub","9.36","debit","Food & Dining","Quicksilver","",""
"6/17/2018","Smiths","SMITHS #4467 LOS ALAMOS NM","49.36","debit","Health & Fitness","Costco Anywhere Visa® Card by Citi","",""
"6/17/2018","Shell","Shell Oil","2.58","debit","Gas & Fuel","Quicksilver","",""
"6/17/2018","Smith's Food","Smith's Food & Drug Centers","112.55","debit","Groceries","Quicksilver","",""
"6/16/2018","Range Cafe","RANGE CAFE BERNALILLO NM","3.45","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"6/16/2018","Cabq Aviation Parking","CABQ AVIATION PARKING ALBUQUERQUE NM","42.00","debit","Parking","Costco Anywhere Visa® Card by Citi","",""
"6/16/2018","Range Cafe","RANGE CAFE BERNALILLO NM","32.20","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"6/16/2018","Lowe's","Lowe's","1.47","debit","Home Improvement","Quicksilver","",""
"6/15/2018","Cnn News St","CNN NEWS ST807 NASHVILLE TN","4.98","debit","Fast Food","Costco Anywhere Visa® Card by Citi","",""
"6/15/2018","Well Coffee","SQ *THE WELL COFFEE NASHVILLE TN","30.16","debit","Coffee Shops","Costco Anywhere Visa® Card by Citi","",""
"6/15/2018","Bavarian Bierhaus","BAVARIAN BIERHAUS NASHVILLE TN","75.30","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"6/15/2018","Amazon","Amazon","24.95","debit","Home","Quicksilver","",""
"6/14/2018","Perch Green Hills","THE PERCH GREEN HILLS NASHVILLE TN","8.83","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"6/14/2018","Exxon","EXXONMOBIL 48156509 NASHVILLE TN","5.13","debit","Gas & Fuel","Costco Anywhere Visa® Card by Citi","",""
"6/14/2018","Southwest Airlines","Southwest Airlines","292.78","debit","Air Travel","Quicksilver","",""
"6/14/2018","Perch","The Perch","26.58","debit","Restaurants","Quicksilver","",""
"6/14/2018","Five Daughters","SQ *FIVE DAUGHTERS NASHVILLE TN","5.37","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"6/14/2018","Martin Bar B","SQ *MARTIN'S BAR-B- NASHVILLE TN","40.44","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"6/13/2018","Jeni Splendid Ice","Jeni's Splendid Ice Creams","11.63","debit","Fast Food","Quicksilver","",""
"6/13/2018","Coffee House","The Well Coffee House","24.91","debit","Restaurants","Quicksilver","",""
"6/13/2018","Transfer to Costco Anywhere Visa Card by Citi","CITI AUTOPAY    PAYMENT   180612","442.65","debit","Credit Card Payment","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"6/12/2018","Fleet Feet","Fleet Feet Sports","169.34","debit","Clothing","Quicksilver","",""
"6/12/2018","Transfer from RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","AUTOPAY 000000000007649RAUTOPAY AUTO-PMT","442.65","credit","Credit Card Payment","Costco Anywhere Visa® Card by Citi","",""
"6/12/2018","Kalamata","Kalamata's","15.60","debit","Restaurants","Quicksilver","",""
"6/12/2018","Edleys Bar B","EDLEYS BAR-B-QUE - 12T","32.79","debit","Restaurants","Quicksilver","",""
"6/12/2018","Ghb","GHB - NASHVILLE","8.47","debit","Groceries","Quicksilver","",""
"6/11/2018","Kroger","Kroger","14.70","debit","Groceries","Quicksilver","",""
"6/11/2018","Green Beans Coffee","Green Beans Coffee","7.98","debit","Coffee Shops","Quicksilver","",""
"6/11/2018","iTunes","Apple iTunes","2.14","debit","Music","Quicksilver","",""
"6/11/2018","Perch","The Perch","30.56","debit","Restaurants","Quicksilver","",""
"6/10/2018","Cash Back Reward","CREDIT-CASH BACK REWARD","25.00","credit","Credit Card Payment","Quicksilver","",""
"6/10/2018","Edley Bar B","Edley's Bar-B-Que","24.76","debit","Restaurants","Quicksilver","",""
"6/10/2018","Dunkin Donuts","Dunkin Donuts","8.09","debit","Coffee Shops","Quicksilver","",""
"6/08/2018","Zsako Home Inspections","ZSAKO HOME INSPECTIONS IN","1329.61","debit","Relocation","Quicksilver","",""
"6/08/2018","Cooper Center Cafe","COOPER CENTER CAFE ALBUQUERQUE NM","4.04","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"6/08/2018","Cabq Eagle Rock","CABQ EAGLE ROCK ALBUQUERQUE NM","5.25","debit","Home Improvement","Costco Anywhere Visa® Card by Citi","",""
"6/08/2018","Check 1191","SHARE DRAFT 1191","4000.00","debit","Mortgage","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","","EARNEST MONEY"
"6/08/2018","Nm Gas Nmgas","NM GAS COMPANY  NMGAS BL","18.72","debit","Utilities","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"6/08/2018","Presbyterian Heapr","ELECTRONIC DEPOSIT PresbyterianELECTRONIC DEPOSIT Presbyterian HeaPR PAYMENT","2481.33","credit","Paycheck","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"6/07/2018","Sprouts Farmers Market Inc.","SPROUTS FARMERS MAR ALBUQUERQUE NM","31.40","debit","Groceries","Costco Anywhere Visa® Card by Citi","",""
"6/07/2018","Cooper Center Cafe","COOPER CENTER CAFE ALBUQUERQUE NM","6.03","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"6/07/2018","Pnm Electric Serele","PNM ELECTRIC SERELE/GS BL","81.82","debit","Utilities","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"6/06/2018","AutoZone","AUTOZONE #3411 ALBUQUERQUE NM","6.65","debit","Service & Parts","Costco Anywhere Visa® Card by Citi","",""
"6/06/2018","Sport Clips","SPORT CLIPS - NM106 - COTALBUQUERQUE NM","43.84","debit","Hair","Costco Anywhere Visa® Card by Citi","",""
"6/06/2018","Costco","COSTCO WHSE #0116 ALBUQUERQUE NM","462.24","credit","Groceries","Costco Anywhere Visa® Card by Citi","",""
"6/06/2018","Rudy Coors Q","RUDY'S COORS #9202 Q23 ALBUQUERQUE NM","24.70","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"6/06/2018","Cooper Center Cafe","COOPER CENTER CAFE ALBUQUERQUE NM","4.04","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"6/06/2018","Costco","COSTCO WHSE #0116 ALBUQUERQUE NM","9.76","debit","Groceries","Costco Anywhere Visa® Card by Citi","",""
"6/06/2018","Abcwua Water Autweb","ABCWUA Water AutWEB PAY   180605","72.56","debit","Utilities","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"6/05/2018","Cabq Aviation Parking","CABQ AVIATION PARKING","2.00","debit","Parking","Quicksilver","",""
"6/04/2018","J G Wentworth","J.G. Wentworth Home Lending","600.00","debit","Home Purchase","Quicksilver","",""
"6/04/2018","Vics Daily Cafe","Vic's Daily Cafe","17.17","debit","Restaurants","Quicksilver","",""
"6/04/2018","Wf Home Mtg","WF HOME MTG     AUTO PAY  060118","971.04","debit","Mortgage","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"6/04/2018","Federal Express","FEDEX 781244064292 MEMPHIS TN","28.80","debit","Home Purchase","Costco Anywhere Visa® Card by Citi","","overnight shipping for earnest money on home purhcase"
"6/02/2018","Sprouts Farmers Market Inc.","Sprouts Farmers Market","16.76","debit","Groceries","Quicksilver","",""
"6/02/2018","Twisters","TWISTERS 9 EAGLE RANCH ALBUQUERQUE NM","11.24","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"5/31/2018","Amazon","Amazon","1.04","debit","Home","Quicksilver","",""
"5/31/2018","Sahara Middle Eastern Eatery","SAHARA MIDDLE EASTERN ALBUQUERQUE NM","41.89","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"5/31/2018","Capital One Retabill","CAPITAL ONE RETABILL PAYMT180531","90.00","debit","Furnishings","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"5/30/2018","Costco","COSTCO WHSE #1016 ALBUQUERQUE NM","71.00","debit","Groceries","Costco Anywhere Visa® Card by Citi","",""
"5/29/2018","Loan Change Prin","LOC LOAN CHANGE  Prin:0.00 Int:0LOC LOAN CHANGE Prin:0.00 Int:0.00 Fee:0.00","0.00","credit","Transfer","IO-Home Eqty LOC Int Only","",""
"5/29/2018","Farmers Insurance","FARMERS INS     EFT PYMT  052718","46.15","debit","Auto Insurance","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"5/29/2018","Transfer to Quicksilver","CAPITAL ONE     CRCARDPMT 180527","1001.47","debit","Credit Card Payment","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"5/29/2018","Inst Xfer","PAYPAL          INST XFER 180527","50.00","debit","Gifts & Donations","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"5/29/2018","Inst Xfer","PAYPAL          INST XFER 180528","50.00","debit","Gifts & Donations","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"5/29/2018","Inst Xfer","PAYPAL          INST XFER 180527","205.01","debit","Health Insurance","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"5/28/2018","Sprouts Farmers Market Inc.","SPROUTS FARMERS MAR ALBUQUERQUE NH","12.99","debit","Groceries","Costco Anywhere Visa® Card by Citi","",""
"5/28/2018","Twisters","TWISTERS 9 EAGLE RANCH ALBUQUERQUE NM","13.18","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"5/28/2018","Annapurnas World Vegetari","ANNAPURNAS WORLD VEGETARIALBUQUERQUE NM","11.89","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"5/28/2018","Airbnb","AIRBNB * HMQNCN4H49 415-800-5959 CA","450.78","debit","Hotel","Costco Anywhere Visa® Card by Citi","",""
"5/27/2018","Range Cafe","RANGE CAFE BERNALILLO NM","34.86","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"5/27/2018","Costco Gas","COSTCO GAS #1016 ALBUQUERQUE NM","61.71","debit","Gas & Fuel","Costco Anywhere Visa® Card by Citi","",""
"5/27/2018","Cabela's","CABELA'S RETAIL 084 ALBUQUERQUE NM","156.00","debit","Sporting Goods","Costco Anywhere Visa® Card by Citi","",""
"5/27/2018","Cash Back Reward","CREDIT-CASH BACK REWARD","25.00","credit","Credit Card Payment","Quicksilver","",""
"5/27/2018","Transfer from RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","CAPITAL ONE AUTOPAY PYMT AuthDate 04-May","1001.47","credit","Credit Card Payment","Quicksilver","",""
"5/26/2018","Costco Gas","COSTCO GAS #1016 ALBUQUERQUE NM","23.90","debit","Gas & Fuel","Costco Anywhere Visa® Card by Citi","",""
"5/26/2018","McDonald's","MCDONALD'S F35918 LOS ALAMOS NM","10.87","debit","Fast Food","Costco Anywhere Visa® Card by Citi","",""
"5/26/2018","iTunes","Apple iTunes","13.95","debit","Music","Quicksilver","",""
"5/25/2018","Cooper Cafe","COOPER CENTER CAFE","6.63","debit","Food & Dining","Quicksilver","",""
"5/25/2018","Presbyterian Heapr","ELECTRONIC DEPOSIT PresbyterianELECTRONIC DEPOSIT Presbyterian HeaPR PAYMENT","2381.60","credit","Paycheck","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"5/24/2018","Cooper Cafe","COOPER CENTER CAFE","7.03","debit","Food & Dining","Quicksilver","",""
"5/24/2018","Southwest Airlines","Southwest Airlines","489.60","debit","Air Travel","Quicksilver","",""
"5/24/2018","Amazon","Amazon","1.04","debit","Home","Quicksilver","",""
"5/24/2018","Southwest Airlines","Southwest Airlines","207.80","debit","Air Travel","Quicksilver","",""
"5/23/2018","Minnesota Life Claim","ELECTRONIC DEPOSIT MINNESOTA LIFELECTRONIC DEPOSIT MINNESOTA LIFE CLAIM PMT","10025.75","credit","Income","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"5/21/2018","Covenant Eyes","Covenant Eyes","13.49","debit","Internet","Quicksilver","",""
"5/21/2018","Totavi Travel Center","TOTAVI TRAVEL CENTER SANTA FE NM","3.19","debit","Travel","Costco Anywhere Visa® Card by Citi","",""
"5/21/2018","Cooper Center Cafe","COOPER CENTER CAFE ALBUQUERQUE NM","3.99","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"5/21/2018","Cooper Center Cafe","COOPER CENTER CAFE ALBUQUERQUE NM","4.04","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"5/20/2018","Chevron","CHEVRON 0202391 CEDAR CREST NM","22.98","debit","Gas & Fuel","Costco Anywhere Visa® Card by Citi","",""
"5/19/2018","Healthywage","HealthyWage","10.00","debit","Health & Fitness","Quicksilver","",""
"5/19/2018","Microsoft","Microsoft","7.35","debit","Electronics & Software","Quicksilver","",""
"5/19/2018","iTunes","Apple iTunes","2.14","debit","Music","Quicksilver","",""
"5/18/2018","Cooper Center Cafe","COOPER CENTER CAFE ALBUQUERQUE NM","4.04","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"5/17/2018","Interest Charges","CREDIT INTEREST CHARGES","14.93","credit","Interest Income","Costco Anywhere Visa® Card by Citi","",""
"5/17/2018","Airbnb","AIRBNB * HMQNCN4H49 415-800-5959 CA","450.78","debit","Hotel","Costco Anywhere Visa® Card by Citi","",""
"5/17/2018","Interest Charged","INTEREST CHARGED TO STANDARD PURCH","14.93","debit","Finance Charge","Costco Anywhere Visa® Card by Citi","",""
"5/16/2018","CVS","CVS/PHARMACY #07242 ALBUQUERQUE NM","14.50","debit","Pharmacy","Costco Anywhere Visa® Card by Citi","",""
"5/16/2018","Costco","COSTCO WHSE #1016 ALBUQUERQUE NM","176.65","debit","Groceries","Costco Anywhere Visa® Card by Citi","",""
"5/16/2018","Amazon","Amazon","40.79","debit","Home","Quicksilver","",""
"5/15/2018","Amazon","Amazon","17.86","debit","Home","Quicksilver","",""
"5/15/2018","CITI AUTOPAY","CITI AUTOPAY    PAYMENT   180514","1078.19","debit","Credit Card Payment","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"5/14/2018","Cooper Cafe","COOPER CENTER CAFE","7.03","debit","Food & Dining","Quicksilver","",""
"5/14/2018","Autopay Oautopay Auto","AUTOPAY 000000000007649OAUTOPAY AUTO-PMT","1078.19","credit","Credit Card Payment","Costco Anywhere Visa® Card by Citi","",""
"5/13/2018","Totavi Travel","TOTAVI TRAVEL CENTER","3.19","debit","Travel","Quicksilver","",""
"5/12/2018","iTunes","Apple iTunes","2.14","debit","Music","Quicksilver","",""
"5/12/2018","Holiday Inn","Holiday Inn","96.01","debit","Hotel","Quicksilver","",""
"5/12/2018","McDonald's","McDonald's","8.57","debit","Fast Food","Quicksilver","",""
"5/12/2018","Smith's Food","Smith's Food & Drug Centers","20.65","debit","Groceries","Quicksilver","",""
"5/11/2018","Cooper Center Cafe","COOPER CENTER CAFE ALBUQUERQUE NM","4.04","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"5/11/2018","Rudy Coors Q","RUDY'S COORS #9202 Q23 ALBUQUERQUE NM","38.82","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"5/11/2018","Presbyterian Heapr","ELECTRONIC DEPOSIT PresbyterianELECTRONIC DEPOSIT Presbyterian HeaPR PAYMENT","2289.57","credit","Paycheck","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"5/10/2018","Total Wine More","TOTAL WINE AND MORE 1301 ALBUQUERQUE NM","73.07","debit","Alcohol & Bars","Costco Anywhere Visa® Card by Citi","",""
"5/10/2018","Dick's Sporting","DICKS SPORTING GOODS1034 ALBUQUERQUE NM","25.77","debit","Sporting Goods","Costco Anywhere Visa® Card by Citi","",""
"5/10/2018","Check 1192","SHARE DRAFT 1192","39.20","debit","Check","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"5/09/2018","Check 1189","SHARE DRAFT 1189","405.28","debit","Home Improvement","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"5/09/2018","Nm Gas Nmgas","NM GAS COMPANY  NMGAS BL","24.66","debit","Utilities","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"5/09/2018","Costco","COSTCO WHSE #1016 ALBUQUERQUE NM","32.80","debit","Groceries","Costco Anywhere Visa® Card by Citi","",""
"5/08/2018","Pnm Electric Serele","PNM ELECTRIC SERELE/GS BL","80.21","debit","Utilities","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"5/08/2018","Cooper Center Cafe","COOPER CENTER CAFE ALBUQUERQUE NM","4.04","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"5/08/2018","Dairy Queen","DAIRY QUEEN #13328 ALBUQUERQUE NM","4.61","debit","Fast Food","Costco Anywhere Visa® Card by Citi","",""
"5/08/2018","Costco","COSTCO WHSE #1016 ALBUQUERQUE NM","477.20","debit","Pets","Costco Anywhere Visa® Card by Citi","",""
"5/08/2018","Costco Gas","COSTCO GAS #1016 ALBUQUERQUE NM","53.39","debit","Gas & Fuel","Costco Anywhere Visa® Card by Citi","",""
"5/07/2018","Abcwua Water Autweb","ABCWUA Water AutWEB PAY   180504","83.22","debit","Utilities","RA-ESSENTIAL PERSONAL CHECKING ACCOUNT","",""
"5/06/2018","Shell","Shell Oil","7.57","debit","Gas & Fuel","Quicksilver","",""
